key,en_US,pt_BR,es_ES
WELCOME,Welcome,Bem vindo!,Bienvenido
LOGIN,Login,Entrar,Entrar
CREATE_ACC,Create Account,Criar conta,Crear una cuenta
PLAY_AS_GUEST,Play as Guest,Jogar como convidado,Jugar como visitante
NO_CON_YET,Not connected yet,Ainda não conectado,Aún no conectado
ACC_NAME,Account name,Nome da conta,Nombre de la cuenta
ENTER_ACC_NAME,Enter your account name here,Digite aqui o nome da sua conta,Introduzca el nombre de su cuenta aquí.
PASSWORD,Password,Senha,Contraseña
ENTER_PASSWORD,Enter your password here,Digite aqui sua senha,Introduzca su contraseña aquí.
BACK,Back,Voltar,Volver
